key,display_code,edition_year,title,status,category,subcategory,compliance_mandatory,verification_level,flags,has_full_text,confidence_tier
IS 10,IS 10:1998,1998,Plywood Tea-Chests - Specification,ACTIVE,,,,single_source_unconfirmed,no_full_text|certification_status_unknown,False,single_source
IS 44,IS 44,,Iron Oxide Pigments For Paints,ACTIVE,Steel & Metallurgy,,True,single_source_unconfirmed,no_scope_or_description|no_full_text,False,single_source
IS 54,IS 54:1988,1988,Nitric Acid - Specification,ACTIVE,Chemicals,,True,single_source_unconfirmed,no_full_text,False,single_source
IS 73,IS 73:2013,2013,Paving Bitumen - Specification,ACTIVE,Civil & Construction,,True,needs_review,full_text_edition_older_than_current_edition|source_conflict_present,True,multi_source
IS 105,IS 105:1975,1975,"Ready Mixed Paint, Brushing, Finishing, Oil Gloss",ACTIVE,Chemicals,,True,single_source_unconfirmed,no_full_text,False,single_source
IS 110,IS 110:1983,1983,"READY MIXED PAINT, BRUSHING, GREY FILLER,",ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 158,IS 158,,"Ready Mixed Paint, Brushing, Bituminous, Black, Lead-free, Acid, Alkali And Heat Resisting",ACTIVE,General Engineering & Consumer Goods,,,single_source_unconfirmed,no_scope_or_description|no_full_text|certification_status_unknown,False,single_source
IS 164,IS 164,,Ready Mixed Paint For Road Marking,ACTIVE,General Engineering & Consumer Goods,,,single_source_unconfirmed,no_scope_or_description|no_full_text|certification_status_unknown,False,single_source
IS 170,IS 170,,Acetone,ACTIVE,General Engineering & Consumer Goods,,,single_source_unconfirmed,no_scope_or_description|no_full_text|certification_status_unknown,False,single_source
IS 177,IS 177,,Cotton Drills,ACTIVE,Textiles & Garments,,,single_source_unconfirmed,no_scope_or_description|no_full_text|certification_status_unknown,False,single_source
IS 190,IS 190:1991,1991,CONIFEROUS SAWN TIMBER,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 191,IS 191,,Copper,ACTIVE,General Engineering & Consumer Goods,,,single_source_unconfirmed,no_scope_or_description|no_full_text|certification_status_unknown,False,single_source
IS 204 (Part 1),IS 204 (Part 1):1991,1991,Tower Bolts - Specification Part-1 Ferrous Metals,ACTIVE,Steel & Metallurgy,,True,verified_multi_source,,True,multi_source
IS 204 (Part 2),IS 204 (Part 2):1992,1992,Tower Bolts - Specification Part-2 Non-ferrous Metals,ACTIVE,Steel & Metallurgy,,True,verified_multi_source,,True,multi_source
IS 205,IS 205:1992,1992,Non-ferrous Metal Butt Hinges -specification,ACTIVE,Steel & Metallurgy,,True,verified_multi_source,,True,multi_source
IS 206,IS 206:1992,1992,TEE AND STRAP HINGES,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 207,IS 207:1964,1964,GATE AND SHUTTER HOOKS AND EYES,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 208,IS 208:1996,1996,Door Handles -specification,ACTIVE,General Engineering & Consumer Goods,,,verified_multi_source,certification_status_unknown,True,multi_source
IS 210,IS 210:2009,2009,Grey Iron Castings — Specification,ACTIVE,Metals & Castings,,,needs_review,no_full_text|source_conflict_present|certification_status_disputed_across_sources|certification_status_unknown,False,multi_source
IS 212,IS 212:1983,1983,CRUDE COAL TAR FOR GENERAL USE,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 215,IS 215:1995,1995,ROAD TAR,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 216,IS 216:1961,1961,COAL TAR PITCH,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 218,IS 218:1983,1983,CREOSOTE OIL FOR USE AS WOOD,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 228,IS 228,,Methods of Chemical Analysis of Steel,ACTIVE,Testing & Normative Reference,,,single_source_unconfirmed,no_full_text|certification_status_unknown,False,single_source
IS 245,IS 245,,"Trichloroethylene, Technical",ACTIVE,General Engineering & Consumer Goods,,,single_source_unconfirmed,no_scope_or_description|no_full_text|certification_status_unknown,False,single_source
IS 251,IS 251,,"Soda Ash, Technical",ACTIVE,General Engineering & Consumer Goods,,,single_source_unconfirmed,no_scope_or_description|no_full_text|certification_status_unknown,False,single_source
IS 252,IS 252:2013,2013,"Caustic Soda, Pure and Technical - Specification",ACTIVE,Chemicals,,True,verified_multi_source,no_full_text,False,multi_source
IS 253,IS 253,,Specification For Common Salt,ACTIVE,"Plastics, Chemicals & Rubber",,,single_source_unconfirmed,no_scope_or_description|no_full_text|certification_status_unknown,False,single_source
IS 260,IS 260:1969,1969,"Aluminium Sulphate, Non-Ferric (Alum)",ACTIVE,Chemicals,,True,single_source_unconfirmed,no_full_text,False,single_source
IS 261,IS 261,,Copper Sulphate,ACTIVE,General Engineering & Consumer Goods,,,single_source_unconfirmed,no_scope_or_description|no_full_text|certification_status_unknown,False,single_source
IS 266,IS 266,,Sulphuric Acid,ACTIVE,General Engineering & Consumer Goods,,,single_source_unconfirmed,no_scope_or_description|no_full_text|certification_status_unknown,False,single_source
IS 269,IS 269:2015,2015,"Ordinary Portland Cement, 33 Grade — Specification",ACTIVE,Construction Materials - Cement,,True,needs_review,full_text_edition_older_than_current_edition|source_conflict_present|amendment_or_verification_data_self_asserted_not_network_verified,True,multi_source
IS 274 (Part 1 and 2),IS 274 (Part 1 and 2),,Shovels - Part 1 : General Purpose Shovels - Part Ii : Heat-treated Shovels,ACTIVE,General Engineering & Consumer Goods,,,single_source_unconfirmed,no_scope_or_description|no_full_text|certification_status_unknown,False,single_source
IS 276,IS 276,,Austenitic-manganese Steel Castings,ACTIVE,Steel & Metallurgy,,True,single_source_unconfirmed,no_scope_or_description|no_full_text,False,single_source
IS 277,IS 277:2018,2018,Galvanized Steel Sheets (Plain and Corrugated) - Specification,ACTIVE,Civil & Construction,,True,needs_review,full_text_edition_older_than_current_edition|source_conflict_present,True,multi_source
IS 278,IS 278:1978,1978,Galvanized Steel Barbed Wire For Fencing-specification,ACTIVE,Steel & Metallurgy,,True,verified_multi_source,,True,multi_source
IS 280,IS 280:2006,2006,Mild Steel Wire for General Engineering Purposes (Binding Wire),ACTIVE,Civil & Construction,,True,needs_review,full_text_edition_older_than_current_edition|source_conflict_present,True,multi_source
IS 281,IS 281:1991,1991,Mild Steel Sliding Door Bolts For Use With Padlocks -specification,ACTIVE,Steel & Metallurgy,,True,verified_multi_source,,True,multi_source
IS 299,IS 299,,Alumino-ferric - Specification,ACTIVE,General Engineering & Consumer Goods,,,single_source_unconfirmed,no_scope_or_description|no_full_text|certification_status_unknown,False,single_source
IS 302 (Part 1),IS 302 (Part 1):2008,2008,Safety of Household and Similar Electrical Appliances — General Requirements,ACTIVE,Electrical - Appliances,,True,verified_multi_source,no_full_text,False,multi_source
IS 302 (Part 2/Sec 14),IS 302 (Part 2/Sec 14),,Safety Of Household And Similar Electrical Appliances: Part 2 Particular Requirements. Section 14 Electric Kitchen Machines,ACTIVE,Electrical & Electronics,,True,single_source_unconfirmed,no_scope_or_description|no_full_text,False,single_source
IS 302 (Part 2/Sec 201),IS 302 (Part 2/Sec 201),,"Safety Of Household And Similar Electrical Appliances: Part 2 Particular Requirements, Section 201 Electric Immersion Water Heater",ACTIVE,Electrical & Electronics,,True,single_source_unconfirmed,no_scope_or_description|no_full_text,False,single_source
IS 302 (Part 2/Sec 21),IS 302 (Part 2/Sec 21):2011,2011,Safety of Stationary Storage Water Heaters (Geysers),ACTIVE,Electrical,,True,single_source_unconfirmed,no_full_text,False,single_source
IS 302 (Part 2/Sec 25),IS 302 (Part 2/Sec 25):2014,2014,Microwave Ovens,ACTIVE,Domestic & Consumer Appliances,Kitchen Appliances,True,single_source_unconfirmed,no_full_text,False,single_source
IS 302 (Part 2/Sec 3),IS 302 (Part 2/Sec 3):2007,2007,Safety of Electric Iron,ACTIVE,Electrical,,True,verified_multi_source,no_full_text,False,multi_source
IS 302 (Part 2/Sec 30),IS 302 (Part 2/Sec 30):2007,2007,"Safety Of Household And Similar Electrical Appliances: Part 2 Particular Requirements, Section 30 Room Heaters",ACTIVE,Domestic & Consumer Appliances,Heating Appliances,True,single_source_unconfirmed,no_full_text,False,single_source
IS 302 (Part 2/Sec 9),IS 302 (Part 2/Sec 9):2009,2009,"Safety of household and similar electrical appliances: Part 2 particular requirements: Sec 9 toasters, grills, roasters and similar appliances",ACTIVE,Domestic & Consumer Appliances,Kitchen Appliances,True,single_source_unconfirmed,no_full_text,False,single_source
IS 303,IS 303:1989,1989,Plywood For General Purposes -,ACTIVE,Civil & Construction Materials,Wood & Plywood,True,single_source_unconfirmed,no_full_text,False,single_source
IS 321,IS 321:2020,2020,Absolute Alcohol - Specification,ACTIVE,Chemicals,,True,single_source_unconfirmed,no_full_text,False,single_source
IS 325,IS 325:1996,1996,Three-phase induction motors - Specification (SUPERSEDED),SUPERSEDED,Electrical,,False,single_source_unconfirmed,no_full_text,False,single_source
IS 335,IS 335:2018,2018,Uninhibited and Inhibited Mineral Insulating Oils for Transformers and Switchgears,ACTIVE,Electrical,,True,verified_multi_source,no_full_text,False,multi_source
IS 362,IS 362:1991,1991,Parliament Hinges -specification,ACTIVE,General Engineering & Consumer Goods,,,verified_multi_source,certification_status_unknown,True,multi_source
IS 363,IS 363:1993,1993,HASPS AND STAPLES,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 364,IS 364:1993,1993,FAN LIGHT CATCH,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 366,IS 366:1991,1991,Electric Irons,ACTIVE,Domestic & Consumer Appliances,Heating Appliances,True,single_source_unconfirmed,no_full_text,False,single_source
IS 367,IS 367,,Electric kettles and jugs for household and similar use,ACTIVE,Electrical & Electronics,,True,single_source_unconfirmed,no_scope_or_description|no_full_text,False,single_source
IS 368,IS 368:2014,2014,Electric Immersion Water Heaters - Specification,ACTIVE,Domestic & Consumer Appliances,Water Heaters,True,single_source_unconfirmed,no_full_text,False,single_source
IS 369,IS 369,,Household Electric Direct Acting Room Heaters,ACTIVE,Electrical & Electronics,,True,single_source_unconfirmed,no_scope_or_description|no_full_text,False,single_source
IS 371,IS 371,,Ceiling Roses,ACTIVE,General Engineering & Consumer Goods,,,single_source_unconfirmed,no_scope_or_description|no_full_text|certification_status_unknown,False,single_source
IS 374,IS 374:2019,2019,Electric Ceiling Type Fans and Regulators - Specification,ACTIVE,Electrical,Air Circulation,True,verified_multi_source,no_full_text,False,multi_source
IS 383,IS 383:2016,2016,Coarse and Fine Aggregate for Concrete — Specification,ACTIVE,Construction Materials - Concrete,,,needs_review,full_text_edition_older_than_current_edition|source_conflict_present|certification_status_disputed_across_sources|certification_status_unknown,True,multi_source
IS 398 (Part 1),IS 398 (Part 1),,Aluminium Conductors For Overhead Transmission Purposes:Part1 Aluminium Stranded Conductors,ACTIVE,Electrical & Electronics,,True,single_source_unconfirmed,no_scope_or_description|no_full_text,False,single_source
IS 398 (Part 2),IS 398 (Part 2):1996,1996,"Aluminium Conductors for Overhead Transmission Purposes - Aluminium Conductor, Galvanized Steel-Reinforced (ACSR)",ACTIVE,Electrical,,True,verified_multi_source,no_full_text,False,multi_source
IS 398 (Part 4),IS 398 (Part 4):1994,1994,Aluminium Alloy Conductors (AAAC) for Overhead Transmission Purposes,ACTIVE,Electrical,,True,verified_multi_source,no_full_text,False,multi_source
IS 398 (Part 5),IS 398 (Part 5),,Aluminium Conductors For Overhead Transmission Purposes:Part5 Aluminium Conductors-Galvanized Steel Reinforced For Extra High Voltage (400 Kv And Above) _,ACTIVE,Steel & Metallurgy,,True,single_source_unconfirmed,no_scope_or_description|no_full_text,False,single_source
IS 399,IS 399:1963,1963,CLASSIFICATION OF COMMERCIAL TIMBERS AND,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 404 (Part 1),IS 404 (Part 1):1993,1993,LEAD PIPES – FOR OTHER THAN,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 407,IS 407:1981,1981,BRASS TUBES FORGENERAL PURPOSES,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 412,IS 412:1975,1975,EXPANDED METAL STEEL SHEETS FOR,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 418,IS 418,,Tungsten Filament Lamp For Domestic And Similar General Lighting Purposes,ACTIVE,Electrical & Electronics,,True,single_source_unconfirmed,no_scope_or_description|no_full_text,False,single_source
IS 419,IS 419:1967,1967,"PUTTY, FOR USE ON WINDOW FRAMES",ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 423,IS 423:1961,1961,PLASTIC WOOD FOR JOINERS FILLER,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 428,IS 428,,Washable Distemper - Specification,ACTIVE,General Engineering & Consumer Goods,,,single_source_unconfirmed,no_scope_or_description|no_full_text|certification_status_unknown,False,single_source
IS 432 (Part 1),IS 432 (Part 1):1982,1982,Mild Steel and Medium Tensile Steel Bars and Hard-Drawn Steel Wire for Concrete Reinforcement,ACTIVE,Civil & Construction,,True,verified_multi_source,,True,multi_source
IS 432 (Part 2),IS 432 (Part 2),,Mild Steel And Medium Tensile Steel Bars And Hard-drawn Steel Wire For Concrete Reinforcement: Part 2 Hard-drawn Steel Wire,ACTIVE,Steel & Metallurgy,,True,single_source_unconfirmed,no_scope_or_description|no_full_text,False,single_source
IS 432 (Part II),IS 432 (Part II):1982,1982,MILD STEEL AND MEDIUM TENSILE STEEL,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 444,IS 444,,"Rubber Hoses, Textile-reinforced, For General-purpose Water Applications",ACTIVE,Civil & Construction Materials,,True,single_source_unconfirmed,no_scope_or_description|no_full_text,False,single_source
IS 446,IS 446,,"Rubber Hoses, Textile-reinforced, For Compressed Air",ACTIVE,Civil & Construction Materials,,True,single_source_unconfirmed,no_scope_or_description|no_full_text,False,single_source
IS 447,IS 447,,Rubber Hose For Welding,ACTIVE,"Plastics, Chemicals & Rubber",,,single_source_unconfirmed,no_scope_or_description|no_full_text|certification_status_unknown,False,single_source
IS 452,IS 452:1973,1973,DOOR SPRING RAT- TAIL TYPE,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 453,IS 453:1993,1993,DOUBLE-ACTING SPRING HINGES,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 454,IS 454:1994,1994,CUTBACK  BITUMEN FROM WAXY CRUDE,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 455,IS 455:2015,2015,Portland Slag Cement — Specification,ACTIVE,Construction Materials - Cement,Cement & Concrete,True,needs_review,full_text_edition_older_than_current_edition|source_conflict_present,True,multi_source
IS 456,IS 456:2000,2000,Plain and Reinforced Concrete — Code of Practice,ACTIVE,Construction Materials - Concrete,Structural Concrete,False,verified_multi_source,no_full_text|amendment_or_verification_data_self_asserted_not_network_verified,False,multi_source
IS 458,IS 458:2021,2021,Precast Concrete Pipes (With and Without Reinforcement) - Specification,ACTIVE,Civil & Construction,,True,needs_review,full_text_edition_older_than_current_edition|source_conflict_present,True,multi_source
IS 459,IS 459:1992,1992,CORRUGATED AND SEMI-CORRUGATED ASBESTOS,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 503,IS 503,,"Specification for Bedsteads, Hospital, General Purposes",ACTIVE,Medical & Healthcare,Hospital Furniture,True,single_source_unconfirmed,no_full_text,False,single_source
IS 504,IS 504,,"Specification for Bedsteads, Hospital, Special Purposes",ACTIVE,Medical & Healthcare,Hospital Furniture,True,single_source_unconfirmed,no_full_text,False,single_source
IS 513,IS 513:1994,1994,COLD ROLLED LOW CARBON STEEL,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 513 (Part 1),IS 513 (Part 1):2016,2016,Cold Reduced Carbon Steel Sheet and Strip - Part 1: Cold Forming and Drawing Steel,ACTIVE,Civil & Construction,,True,verified_multi_source,no_full_text,False,multi_source
IS 513 (Part 2),IS 513 (Part 2),,Cold Reduced Carbon Steel Sheet And Strip Part2High Tensile And Multi-phase Steel,ACTIVE,Steel & Metallurgy,,True,single_source_unconfirmed,no_scope_or_description|no_full_text,False,single_source
IS 516 (Part 1/Sec 1),IS 516 (Part 1/Sec 1):2021,2021,"Hardened Concrete - Methods of Test - Compressive, Flexural and Split Tensile Strength",ACTIVE,Civil & Construction,,False,single_source_unconfirmed,no_full_text,False,single_source
IS 517,IS 517:2020,2020,Methanol (Methyl Alcohol) - Specification,ACTIVE,Chemicals,,True,single_source_unconfirmed,no_full_text,False,single_source
IS 539,IS 539,,Naphthalene,ACTIVE,General Engineering & Consumer Goods,,,single_source_unconfirmed,no_scope_or_description|no_full_text|certification_status_unknown,False,single_source
IS 550 (Part 1),IS 550 (Part 1),,Safes Part 1 Specification,ACTIVE,General Engineering & Consumer Goods,,,single_source_unconfirmed,no_scope_or_description|no_full_text|certification_status_unknown,False,single_source
IS 573,IS 573,,Trisodium Phosphate,ACTIVE,General Engineering & Consumer Goods,,,single_source_unconfirmed,no_scope_or_description|no_full_text|certification_status_unknown,False,single_source
IS 612,IS 612,,Roasted Chicory Powder,ACTIVE,Food & Agriculture,,,single_source_unconfirmed,no_scope_or_description|no_full_text|certification_status_unknown,False,single_source
IS 616,IS 616:2017,2017,Application Guide for Bright Rolled Steel Furniture Strip,ACTIVE,Furniture & Fixtures,Audio/Video Displays,,needs_review,no_full_text|source_conflict_present|certification_status_disputed_across_sources|certification_status_unknown,False,multi_source
IS 623,IS 623,,Bicycle - Bicycle Frames ( Amalgamating Si 3404: 1979),ACTIVE,General Engineering & Consumer Goods,,,single_source_unconfirmed,no_scope_or_description|no_full_text|certification_status_unknown,False,single_source
IS 636,IS 636,,Non-percolating Flexible Fire Fighting Delivery Hose - Specification,ACTIVE,General Engineering & Consumer Goods,,,single_source_unconfirmed,no_scope_or_description|no_full_text|certification_status_unknown,False,single_source
IS 638,IS 638:1979,1979,Sheet Rubber Jointing And Rubber Insertion Jointing,ACTIVE,"Plastics, Chemicals & Rubber",,,verified_multi_source,certification_status_unknown,True,multi_source
IS 648,IS 648,,Cold Rolled Non-oriented Electrical Steel Sheet And Strip - Fully Processed Type,ACTIVE,Steel & Metallurgy,,True,single_source_unconfirmed,no_scope_or_description|no_full_text,False,single_source
IS 650,IS 650,,Specification For Standard Sand For Testing Of Cement,ACTIVE,Civil & Construction Materials,,True,single_source_unconfirmed,no_scope_or_description|no_full_text,False,single_source
IS 651,IS 651:1992,1992,Glazed Stoneware Pipe And Fittings -,ACTIVE,Steel & Metallurgy,,True,verified_multi_source,,True,multi_source
IS 653,IS 653:1992,1992,LINOLEUM SHEET  AND TILES,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 654,IS 654:1992,1992,"CLAY ROOFING TILES, MANGALORE PATTERN",ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 694,IS 694:2010,2010,PVC Insulated Cables for Working Voltages up to and Including 1100 V,ACTIVE,Electrical - Cables,Wires & Cables,True,needs_review,full_text_edition_older_than_current_edition|source_conflict_present|amendment_or_verification_data_self_asserted_not_network_verified,True,multi_source
IS 702,IS 702:1988,1988,Industrial Bitumen,ACTIVE,General Engineering & Consumer Goods,,,verified_multi_source,certification_status_unknown,True,multi_source
IS 710,IS 710:2010,2010,Marine Plywood -specification,ACTIVE,Civil & Construction Materials,Wood & Plywood,True,single_source_unconfirmed,no_full_text,False,single_source
IS 712,IS 712:1984,1984,Specification For Building Limes,ACTIVE,General Engineering & Consumer Goods,,,verified_multi_source,certification_status_unknown,True,multi_source
IS 723,IS 723:1972,1972,Steel Countersunk Head Wire Nails,ACTIVE,Steel & Metallurgy,,True,verified_multi_source,,True,multi_source
IS 724,IS 724:1964,1964,"MILD STEEL AND BRASS CUP, RULER AND SQUARE",ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 725,IS 725:1961,1961,COPPER WIRE NAILS,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 730,IS 730:1978,1978,HOOK BOLTS FOR CORRUGATED SHEET ROOFING,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 731,IS 731:1971,1971,Porcelain Insulators for Overhead Power Lines with a Nominal Voltage Greater than 1000 V,ACTIVE,Electrical,,True,single_source_unconfirmed,no_full_text,False,single_source
IS 732,IS 732:2019,2019,Code of Practice for Electrical Wiring Installations,ACTIVE,Electrical - Wiring,,False,verified_multi_source,no_full_text,False,multi_source
IS 733,IS 733:1983,1983,"Wrought Aluminium And Aluminium Alloy Bars,Rods And Sections (for General Engineering Purposes)",ACTIVE,Steel & Metallurgy,,True,verified_multi_source,,True,multi_source
IS 736,IS 736:1986,1986,WROUGHT ALUMINIUM AND ALUMINIUM ALLOY,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 737,IS 737:1986,1986,WROUGHT ALUMINIUM AND ALUMINIUM ALLOY,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 738,IS 738:1994,1994,"Wrought Aluminium Alloys, Drawn Tube For General Engineering Purposes",ACTIVE,Steel & Metallurgy,,True,verified_multi_source,,True,multi_source
IS 739,IS 739:1992,1992,WROUGHT ALUMINIUM AND ALUMINIUM,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 740,IS 740:1977,1977,WROUGHT ALUMINIUM ALLOY RIVET STOCK FOR,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 758,IS 758,,"Handloom Cotton Gauze, Absorbent, Non-sterilized",ACTIVE,Textiles & Garments,,,single_source_unconfirmed,no_scope_or_description|no_full_text|certification_status_unknown,False,single_source
IS 771 (Part 1),IS 771 (Part 1):1979,1979,GLAZED FIRE–CLAY SANITARY,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 771 (Part 2),IS 771 (Part 2):1985,1985,GLAZED FIRE – CLAY SANITARY,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 771 (Part 5),IS 771 (Part 5):1979,1979,"GLAZED FIRE  CLAY APPLIANCES,",ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 771 (Part 7),IS 771 (Part 7):1981,1981,GLAZED FIRE CLAY SANITARY,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 772,IS 772:1973,1973,GENERAL  REQUIREMENT FOR ENAMELLED CAST,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 773,IS 773:1988,1988,"ENAMELLED CAST IRON WATER–CLOSETS,",ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 774,IS 774:2004,2004,Flushing Cistern For Water Closets And Urinals (other Than Plastic Cisterns) -,ACTIVE,"Plastics, Chemicals & Rubber",,,verified_multi_source,certification_status_unknown,True,multi_source
IS 775,IS 775:1970,1970,CAST IRON BRACKETS AND SUPPORTS,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 778,IS 778:1984,1984,"Specification for Copper Alloy Gate, Globe and Check Valves for Water Works Purposes",ACTIVE,Mechanical,,True,verified_multi_source,,True,multi_source
IS 779,IS 779:1994,1994,Water Meters (Domestic Type) - Specification,ACTIVE,Mechanical,,True,verified_multi_source,,True,multi_source
IS 781,IS 781:1984,1984,Cast Copper Alloy Screw Down Bib Taps And Stop Valves For Water Services,ACTIVE,Steel & Metallurgy,,True,verified_multi_source,,True,multi_source
IS 782,IS 782:1978,1978,CAULKING LEAD,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 783,IS 783:1985,1985,Code of Practice for Laying of Concrete Pipes,ACTIVE,Civil & Construction,,False,single_source_unconfirmed,no_full_text,False,single_source
IS 784,IS 784:2001,2001,PRESTRESSED CONCRETE PIPES,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 797,IS 797,,Common Salt For Chemical Industries,ACTIVE,"Plastics, Chemicals & Rubber",,,single_source_unconfirmed,no_scope_or_description|no_full_text|certification_status_unknown,False,single_source
IS 800,IS 800:2007,2007,General Construction in Steel — Code of Practice,ACTIVE,Structural Steel,,False,verified_multi_source,no_full_text,False,multi_source
IS 804,IS 804:1967,1967,RECTANGULAR PRESSED STEEL TANKS,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 808,IS 808:1989,1989,"DIMENSIONS FOR HOT ROLLED STEELBEAM,",ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 809,IS 809:1992,1992,RUBBER FLOORING MATERIALS,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 811,IS 811:1987,1987,COLD FORMED LIGHT GAUGE STRUCTURAL STEEL,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 814,IS 814:2004,2004,Covered Electrodes For Manual Metal Arc Welding Of Carbon And Carbon Manganese Steel,ACTIVE,Steel & Metallurgy,,True,verified_multi_source,,True,multi_source
IS 848,IS 848,,Specification For Synthetic Resin Adhesives For Plywood (phenolic And Aminoplastic) -,ACTIVE,Civil & Construction Materials,,True,single_source_unconfirmed,no_scope_or_description|no_full_text,False,single_source
IS 849,IS 849:1994,1994,COLD SETTING CASE IN GLUE FOR WOOD,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 851,IS 851:1978,1978,SYNTHETIC RESIN ADHESIVES FOR CONSTRUCTION,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 852,IS 852:1994,1994,ANIMAL GLUE FOR GENERAL WOOD-WORKING,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 863,IS 863,,"Handloom Cotton Bandage Cloth, Non-sterilized",ACTIVE,Textiles & Garments,,,single_source_unconfirmed,no_scope_or_description|no_full_text|certification_status_unknown,False,single_source
IS 868,IS 868,,Sealing Wax,ACTIVE,General Engineering & Consumer Goods,,,single_source_unconfirmed,no_scope_or_description|no_full_text|certification_status_unknown,False,single_source
IS 875 (Part 1),IS 875 (Part 1):1987,1987,Structural Design Dead and Imposed Loads,ACTIVE,Structural Engineering & Codes,Design Loads,,verified_multi_source,certification_status_unknown,True,multi_source
IS 875 (Part 2),IS 875 (Part 2):1987,1987,Structural Design Dead and Imposed Loads,ACTIVE,Structural Engineering & Codes,Design Loads,,single_source_unconfirmed,no_full_text|certification_status_unknown,False,single_source
IS 875 (Part 3),IS 875 (Part 3):2015,2015,Structural Design Dead and Imposed Loads,ACTIVE,Structural Engineering & Codes,Design Loads,,single_source_unconfirmed,no_full_text|certification_status_unknown,False,single_source
IS 876,IS 876:1992,1992,WOOD POLES  FOR OVER HEAD POWER,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 878,IS 878,,Laboratory Glassware - Graduated Measuring Cylinders,ACTIVE,General Engineering & Consumer Goods,,,single_source_unconfirmed,no_scope_or_description|no_full_text|certification_status_unknown,False,single_source
IS 884,IS 884,,Specification For First-aid Hose-reel For Fire Fighting,ACTIVE,General Engineering & Consumer Goods,,,single_source_unconfirmed,no_scope_or_description|no_full_text|certification_status_unknown,False,single_source
IS 899,IS 899,,Tapioca Sago (saboodana),ACTIVE,General Engineering & Consumer Goods,,,single_source_unconfirmed,no_scope_or_description|no_full_text|certification_status_unknown,False,single_source
IS 900,IS 900:1992,1992,Code of Practice for Installation and Maintenance of Induction Motors,ACTIVE,Electrical - Motors,,False,verified_multi_source,no_full_text,False,multi_source
