key,display_code,edition_year,title,status,category,subcategory,compliance_mandatory,verification_level,flags,has_full_text,confidence_tier
IS 1700,IS 1700:1973,1973,DRINKING FOUNTAINS,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 1701,IS 1701:1960,1960,MIXING  VALVES FOR ABLUTIONARY AND,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 1703,IS 1703:2000,2000,Water Fittings - Copper Alloy Float Valves (horizontal Plunger Type) -,ACTIVE,Steel & Metallurgy,,True,verified_multi_source,,True,multi_source
IS 1709,IS 1709,,Capacitors For Electric Fan Motors,ACTIVE,Electrical & Electronics,,True,single_source_unconfirmed,no_scope_or_description|no_full_text,False,single_source
IS 1711,IS 1711:1984,1984,SELF–CLOSING TAPS FOR,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 1726,IS 1726:1991,1991,Cast Iron Manhole Covers And Frames,ACTIVE,Steel & Metallurgy,,True,verified_multi_source,,True,multi_source
IS 1729,IS 1729,,Cast Iron/ductile Iron Drainage Pipes And Pipe Fittings For Over Ground Non-pressure Pipeline Socket And Spigot Series,ACTIVE,Steel & Metallurgy,,True,single_source_unconfirmed,no_scope_or_description|no_full_text,False,single_source
IS 1730,IS 1730:1989,1989,"STEEL  PLATES SHEETS STRIPS AND FLATS, FOR",ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 1732,IS 1732:1989,1989,"STEEL BARS, ROUND AND SQUARE FOR",ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 1741,IS 1741,,Latex Foam Rubber Products,ACTIVE,"Plastics, Chemicals & Rubber",,,single_source_unconfirmed,no_scope_or_description|no_full_text|certification_status_unknown,False,single_source
IS 1742,IS 1742:1983,1983,Code of Practice for Building Drainage,ACTIVE,Mechanical,,False,single_source_unconfirmed,no_full_text,False,single_source
IS 1746,IS 1746,,"Shoe Polish, Paste",ACTIVE,General Engineering & Consumer Goods,,,single_source_unconfirmed,no_scope_or_description|no_full_text|certification_status_unknown,False,single_source
IS 1759,IS 1759,,Powrahs,ACTIVE,General Engineering & Consumer Goods,,,single_source_unconfirmed,no_scope_or_description|no_full_text|certification_status_unknown,False,single_source
IS 1783 (Part 1),IS 1783 (Part 1),,"Drums Large, Fixed Ends Specification Part 1 Grade A Drums",ACTIVE,General Engineering & Consumer Goods,,,single_source_unconfirmed,no_scope_or_description|no_full_text|certification_status_unknown,False,single_source
IS 1783 (Part 2),IS 1783 (Part 2),,"Drums, Large, Fixed Ends - Specification Part 2 Grade B Drums",ACTIVE,General Engineering & Consumer Goods,,,single_source_unconfirmed,no_scope_or_description|no_full_text|certification_status_unknown,False,single_source
IS 1784,IS 1784,,Screwed Closures For Drums,ACTIVE,General Engineering & Consumer Goods,,,single_source_unconfirmed,no_scope_or_description|no_full_text|certification_status_unknown,False,single_source
IS 1785 (Part 1),IS 1785 (Part 1),,Plain Hard-drawn Steel Wire For Prestressed Concrete: Part 1 Cold Drawn Stress-relieved Wire,ACTIVE,Steel & Metallurgy,,True,single_source_unconfirmed,no_scope_or_description|no_full_text,False,single_source
